census_tract_number,Asian,Black_or_African_American,Hispanic_or_Latino,White,minority_population,n,census_tract_id,white_population,white_application_percentage,white_application_population_delta
96.02,0.16666666666666666,0.5555555555555556,0.08333333333333333,0.19444444444444445,99.83000183105469,36,009602,0.1699981689453125,19.444444444444446,19.274446275499134
96.03,0.03571428571428571,0.6071428571428571,0.03571428571428571,0.32142857142857145,99.66999816894531,28,009603,0.3300018310546875,32.142857142857146,31.81285531180246
96.04,0.024390243902439025,0.5121951219512195,0.0975609756097561,0.36585365853658536,99.339996337890625,41,009604,0.660003662109375,36.58536585365854,35.92536219154916
97,0.043478260869565216,0.8695652173913043,0.043478260869565216,0.043478260869565216,99.7300033569336,23,009700,0.26999664306640625,4.3478260869565215,4.077829443890115
98.01,0.1,0.7,0,0.2,98.9800033569336,10,009801,1.0199966430664062,20,18.980003356933594
98.02,0,0.6923076923076923,0.15384615384615385,0.15384615384615385,99.81999969482422,13,009802,0.18000030517578125,15.384615384615385,15.204615079439604
98.03,0.05,0.65,0.2,0.1,99.779998779296875,20,009803,0.220001220703125,10,9.779998779296875
98.04,0.058823529411764705,0.6764705882352942,0.058823529411764705,0.20588235294117646,98.779998779296875,34,009804,1.220001220703125,20.588235294117645,19.36823407341452
98.07,0.01818181818181818,0.8,0.03636363636363636,0.14545454545454545,98.089996337890625,55,009807,1.910003662109375,14.545454545454545,12.63545088334517
98.1,0,1,0,0,100,6,009810,0,0,0
98.11,0,0.8888888888888888,0,0.1111111111111111,100,9,009811,0,11.11111111111111,11.11111111111111
99.01,0.03225806451612903,0.6451612903225806,0,0.3225806451612903,96.720001220703125,31,009901,3.279998779296875,32.25806451612903,28.978065736832157
99.02,0,0.8809523809523809,0.047619047619047616,0.07142857142857142,99.05999755859375,42,009902,0.94000244140625,7.142857142857142,6.202854701450892
99.03,0,0.875,0.09375,0.03125,98.029998779296875,32,009903,1.970001220703125,3.125,1.154998779296875
99.04,0,0.7647058823529411,0.11764705882352941,0.11764705882352941,97.55999755859375,17,009904,2.44000244140625,11.76470588235294,9.32470344094669
99.05,0,0.76,0.16,0.08,99.86000061035156,50,009905,0.1399993896484375,8,7.8600006103515625
99.06,0,0.7368421052631579,0.05263157894736842,0.21052631578947367,98.55000305175781,19,009906,1.4499969482421875,21.052631578947366,19.60263463070518
99.07,0.043478260869565216,0.7391304347826086,0.08695652173913043,0.13043478260869565,100,23,009907,0,13.043478260869565,13.043478260869565
